run,signal,frequency_ghz,power
Bx,mx,749.8185193487755,1.545886683062577e-19
Bx,mx,751.8616215813335,7.145489903205274e-18
Bx,mx,753.9047238138915,9.256956910498797e-18
Bx,mx,755.9478260464492,3.4508194353144403e-18
Bx,mx,757.9909282790072,6.8447809623221304e-18
Bx,mx,760.0340305115652,1.5872239358203142e-17
Bx,mx,762.0771327441232,6.378134856347114e-18
Bx,mx,764.1202349766812,4.55961677079582e-18
Bx,mx,766.1633372092392,1.072824244710474e-17
Bx,mx,768.2064394417972,3.7894859886322746e-19
Bx,mx,770.2495416743551,6.6024066088212914e-18
Bx,mx,772.2926439069131,3.44710163794327e-18
Bx,mx,774.3357461394711,2.8399143251748175e-18
Bx,mx,776.378848372029,1.184950759919884e-18
Bx,mx,778.421950604587,1.4760615541457915e-17
Bx,mx,780.465052837145,1.277992019517238e-17
Bx,mx,782.508155069703,1.2011501488723451e-18
Bx,mx,784.5512573022609,8.843494053819634e-18
Bx,mx,786.5943595348189,8.658973464134485e-18
Bx,mx,788.6374617673769,4.314905387928773e-18
Bx,mx,790.6805639999349,7.064706890778795e-19
Bx,mx,792.7236662324929,3.847919996162213e-18
Bx,mx,794.7667684650507,9.307769033646941e-18
Bx,mx,796.8098706976087,4.0364438812638964e-18
Bx,mx,798.8529729301666,3.861824606202582e-18
Bx,mx,800.8960751627246,7.026197530792669e-18
Bx,mx,802.9391773952826,2.5517264716828427e-18
Bx,mx,804.9822796278406,7.87267902150021e-18
Bx,mx,807.0253818603986,2.6165382133878216e-17
Bx,mx,809.0684840929566,3.9677880471742973e-17
Bx,mx,811.1115863255146,2.2087292344018714e-17
Bx,mx,813.1546885580725,9.54848970689243e-18
Bx,mx,815.1977907906304,8.06392027211467e-18
Bx,mx,817.2408930231884,5.890665534518046e-18
Bx,mx,819.2839952557464,3.09453849847819e-17
Bx,mx,821.3270974883044,8.621671254646935e-17
Bx,mx,823.3701997208624,1.4397148572726746e-16
Bx,mx,825.4133019534204,2.1805982630754202e-16
Bx,mx,827.4564041859783,7.179401131162184e-17
Bx,mx,829.4995064185363,4.943266190837939e-19
Bx,mx,831.5426086510943,3.295368790453126e-17
Bx,mx,833.5857108836523,1.683268921393872e-17
Bx,mx,835.6288131162102,4.4215085769324546e-18
Bx,mx,837.6719153487682,2.7892379179386813e-18
Bx,mx,839.7150175813262,5.645274251892402e-18
Bx,mx,841.758119813884,1.016846513745349e-17
Bx,mx,843.801222046442,4.1762677652012216e-18
Bx,mx,845.844324279,1.9143751241316148e-18
Bx,mx,847.887426511558,4.1326400792008737e-17
Bx,mx,849.930528744116,4.828558757036932e-17
Bx,mx,851.973630976674,6.95598911698816e-18
Bx,mx,854.016733209232,3.5762596386440336e-17
Bx,mx,856.0598354417898,5.708714060391734e-18
