# t (s)	mx ()	my ()	mz ()	E_total (J)
9.351799656122353e-12	-1.3542176e-10	-8.9740754e-10	0.9960276	1.2669069e-18
9.400343337259153e-12	-1.2779236e-10	-9.536744e-10	0.99602765	1.2659366e-18
9.45163203590435e-12	-6.1035156e-11	-9.431839e-10	0.9960277	1.2654352e-18
9.500969250935515e-12	-1.3351441e-11	-9.098053e-10	0.99602765	1.2658053e-18
9.551002786568253e-12	-5.912781e-11	-8.5926055e-10	0.9960276	1.2675176e-18
9.601129142913006e-12	-9.346008e-11	-8.8882446e-10	0.9960276	1.2694342e-18
9.650787042015924e-12	-1.14440915e-10	-8.611679e-10	0.99602765	1.2704177e-18
9.70013134359896e-12	-9.4413755e-11	-8.654594e-10	0.99602765	1.2708092e-18
9.751816316471275e-12	-1.411438e-10	-8.2874296e-10	0.9960277	1.2709878e-18
9.801141773846813e-12	-1.5640259e-10	-8.454323e-10	0.99602765	1.271346e-18
9.850804664908077e-12	-1.7356873e-10	-8.5163115e-10	0.99602765	1.2723503e-18
9.900995968958165e-12	-1.2969971e-10	-8.6593627e-10	0.99602765	1.2744593e-18
9.951665533338848e-12	-1.077652e-10	-8.621216e-10	0.9960276	1.2776886e-18
1.0001999421149016e-11	-9.155274e-11	-9.1576574e-10	0.9960276	1.2801849e-18
1.0051762217554527e-11	-8.6784364e-11	-8.8119506e-10	0.99602765	1.281447e-18
1.0101132117748543e-11	-1.1825561e-10	-9.069443e-10	0.99602765	1.2819121e-18
1.0150346799685836e-11	-4.863739e-11	-9.346008e-10	0.9960276	1.2820755e-18
1.0202082042866867e-11	-5.1498413e-11	-8.4877017e-10	0.9960276	1.2823629e-18
1.0251445918889045e-11	-4.1007996e-11	-8.401871e-10	0.9960275	1.2828184e-18
1.0300891993907082e-11	-7.629394e-11	-8.1443785e-10	0.9960274	1.2834389e-18
1.0350528974757404e-11	-8.583069e-11	-8.649826e-10	0.9960274	1.2844549e-18
1.04005051587927e-11	-6.6757204e-11	-8.2302093e-10	0.99602735	1.2862145e-18
1.0450882030262605e-11	-1.0585785e-10	-7.953644e-10	0.9960273	1.2889259e-18
1.0501589249588906e-11	-9.155274e-11	-8.2683566e-10	0.99602735	1.2925065e-18
1.0550020053350815e-11	-7.44164e-11	-8.354187e-10	0.99602723	1.2966678e-18
1.0601336553801419e-11	-4.577637e-11	-8.354187e-10	0.9960272	1.3021207e-18
1.0650463234331513e-11	-4.005432e-11	-7.867813e-10	0.9960272	1.3086277e-18
1.0702483410563024e-11	-8.773804e-11	-7.858276e-10	0.9960269	1.3167601e-18
1.0751705175462116e-11	-6.866455e-11	-8.3732604e-10	0.9960268	1.3240514e-18
1.0800486853379185e-11	-4.577637e-11	-7.648468e-10	0.9960268	1.3300187e-18
1.0851648449586762e-11	-1.2016296e-10	-7.646084e-10	0.99602664	1.3358167e-18
1.090020081569531e-11	-1.6784668e-10	-7.815361e-10	0.9960265	1.341279e-18
1.0951167493382093e-11	-2.1743775e-10	-8.478165e-10	0.99602646	1.3466704e-18
1.100209071338236e-11	-9.155274e-11	-8.802414e-10	0.99602616	1.3520264e-18
1.1050511266737172e-11	-6.389618e-11	-8.2206725e-10	0.9960261	1.3573737e-18
1.1101575339544321e-11	-7.05719e-11	-7.8201295e-10	0.996026	1.3634707e-18
1.1150059563172863e-11	-9.727478e-11	-7.7438356e-10	0.99602586	1.3692918e-18
1.1200990358987268e-11	-1.2969971e-10	-7.984638e-10	0.9960258	1.3751506e-18
1.1251865278477264e-11	-8.964539e-11	-8.1443785e-10	0.9960257	1.380917e-18
1.1302253934681098e-11	-9.155274e-11	-7.638931e-10	0.9960256	1.3849865e-18
1.1352021040374096e-11	-1.039505e-10	-8.120537e-10	0.99602556	1.3869678e-18
1.1401265386319455e-11	-8.106232e-11	-7.724762e-10	0.99602556	1.3873203e-18
1.1450136662617084e-11	-1.2588501e-10	-8.1133844e-10	0.9960257	1.3865933e-18
1.1501183727638811e-11	-1.2874603e-10	-8.0490115e-10	0.99602556	1.3851007e-18
1.1552000849977149e-11	-1.3697148e-10	-8.306503e-10	0.9960257	1.383022e-18
1.1600202940901036e-11	-1.08718874e-10	-8.392334e-10	0.99602574	1.380572e-18
1.1650658456463417e-11	-1.08718874e-10	-8.5830687e-10	0.99602574	1.3776495e-18
1.1701035184950806e-11	-1.3351441e-10	-8.292198e-10	0.9960258	1.3745762e-18
1.175139028519943e-11	-1.373291e-10	-8.554459e-10	0.99602586	1.3714869e-18
1.180172446113207e-11	-1.06811525e-10	-8.459091e-10	0.99602586	1.3683853e-18
1.1852012998529906e-11	-6.866455e-11	-8.249283e-10	0.99602586	1.3652164e-18
1.1902262153047565e-11	-9.918213e-11	-8.163452e-10	0.99602604	1.3620004e-18
1.1950127701366203e-11	-1.1062622e-10	-8.010864e-10	0.9960261	1.3589917e-18
1.2000441708487116e-11	-1.3351441e-10	-7.9727175e-10	0.99602616	1.3559835e-18
1.2050857403736477e-11	-1.1062622e-10	-8.201599e-10	0.9960263	1.3532234e-18
1.2101375459491658e-11	-1.14440915e-10	-8.1920626e-10	0.9960263	1.350709e-18
1.2152001789209515e-11	-9.155274e-11	-8.826256e-10	0.99602634	1.3484517e-18
1.2200378167755185e-11	-8.392334e-11	-8.9120866e-10	0.9960264	1.3466711e-18
1.2251423508535663e-11	-6.771088e-11	-9.174347e-10	0.9960264	1.3453778e-18
1.230039202375811e-11	-5.7220458e-11	-9.1171265e-10	0.9960264	1.344991e-18
1.2352393626811767e-11	-7.05719e-11	-8.993149e-10	0.9960264	1.3460933e-18
1.2400148766561065e-11	-6.2942505e-11	-9.0169905e-10	0.99602616	1.3491471e-18
1.2451112202697415e-11	-6.2942505e-11	-8.9645386e-10	0.9960261	1.3547065e-18
1.2502000993807432e-11	-7.647276e-11	-8.8214874e-10	0.996026	1.3601132e-18
1.2550166407562052e-11	-7.4386594e-11	-8.792877e-10	0.996026	1.3647119e-18
1.2600671285008426e-11	-9.822845e-11	-8.354187e-10	0.9960259	1.3689498e-18
1.2650992286286491e-11	-1.2493133e-10	-8.850098e-10	0.9960258	1.3726154e-18
1.2701214208219174e-11	-1.04904176e-10	-9.0312957e-10	0.9960258	1.3759921e-18
1.2751436916277283e-11	-8.964539e-11	-8.707047e-10	0.9960258	1.3794119e-18
1.2801548602420692e-11	-1.16348264e-10	-8.52108e-10	0.99602574	1.3824925e-18
1.2851408272290097e-11	-1.5830993e-10	-8.6593627e-10	0.9960257	1.3847585e-18
1.2900996586507268e-11	-1.06811525e-10	-9.1838837e-10	0.9960257	1.3861641e-18
1.2950366836153235e-11	-1.04904176e-10	-8.831024e-10	0.9960257	1.3868968e-18
1.3002068458269643e-11	-1.14440915e-10	-8.5258484e-10	0.9960257	1.387253e-18
1.3051178804937462e-11	-1.7929078e-10	-8.6593627e-10	0.9960257	1.3872138e-18
1.310219782414425e-11	-1.3923646e-10	-9.336472e-10	0.99602574	1.3856552e-18
1.3150334250447253e-11	-8.773804e-11	-8.8882446e-10	0.9960258	1.3830293e-18
1.3200571838810007e-11	-1.3351441e-10	-8.4877017e-10	0.9960259	1.3795846e-18
1.3250668654111541e-11	-1.6212463e-10	-8.382797e-10	0.99602604	1.37587e-18
1.330077900652704e-11	-1.9836426e-10	-8.935928e-10	0.9960261	1.3722317e-18
1.3351065396137891e-11	-1.02996826e-10	-9.438992e-10	0.9960261	1.3690228e-18
1.3401657895783e-11	-1.1062622e-10	-8.75473e-10	0.99602616	1.3665363e-18
1.3450055836253907e-11	-1.2969971e-10	-8.5639956e-10	0.9960263	1.3646864e-18
1.3500890036159281e-11	-1.6593933e-10	-8.6593627e-10	0.9960263	1.3627965e-18
1.355186545020653e-11	-1.5068054e-10	-8.907318e-10	0.9960264	1.3612554e-18
1.360043314460742e-11	-1.06811525e-10	-8.995533e-10	0.9960264	1.3598454e-18
1.365110177696214e-11	-1.0108948e-10	-8.676052e-10	0.99602646	1.3576099e-18
1.3701570419241685e-11	-1.2016296e-10	-8.621216e-10	0.99602646	1.3549516e-18
1.3752011846773843e-11	-1.2588501e-10	-8.3732604e-10	0.9960264	1.3522621e-18
1.3800176002829098e-11	-1.04904176e-10	-8.859634e-10	0.99602646	1.3499928e-18
1.3851000787934884e-11	-7.534027e-11	-8.554459e-10	0.9960264	1.3481844e-18
1.3902126964344524e-11	-1.1825561e-10	-8.792877e-10	0.99602646	1.3470779e-18
1.395096798058191e-11	-9.6321104e-11	-9.188652e-10	0.9960264	1.3463811e-18
1.4002267768836383e-11	-1.1253357e-10	-9.441375e-10	0.9960264	1.3456925e-18
1.4050994607954611e-11	-8.010864e-11	-9.1075897e-10	0.99602634	1.3447305e-18
1.4101928974564471e-11	-6.198883e-11	-9.307861e-10	0.9960264	1.3432018e-18
1.4150287500882604e-11	-4.577637e-11	-9.422302e-10	0.99602634	1.3414249e-18
1.420102273076233e-11	-1.3351441e-11	-9.1958047e-10	0.9960264	1.3394841e-18
1.4251777109974906e-11	1.1444092e-11	-8.5830687e-10	0.99602646	1.3375991e-18
1.4302351921907556e-11	-5.531311e-11	-8.630753e-10	0.9960264	1.3353564e-18
1.4350324447119448e-11	-1.7166138e-11	-8.916855e-10	0.99602646	1.3328526e-18
1.4400531685312032e-11	-2.3841857e-11	-8.926392e-10	0.9960265	1.3299391e-18
1.44506941410161e-11	-4.9591064e-11	-9.002686e-10	0.9960265	1.3269765e-18
1.450093847640112e-11	-5.3405762e-11	-8.5926055e-10	0.99602664	1.3241999e-18
1.4551358852994509e-11	-3.814697e-11	-8.802414e-10	0.9960265	1.3217813e-18
1.4601918698549635e-11	3.8146973e-12	-8.7571145e-10	0.9960266	1.3196493e-18
1.4652391123576466e-11	1.4305114e-11	-8.535385e-10	0.9960267	1.3173742e-18
1.4700338425469508e-11	-9.864568e-12	-8.3327295e-10	0.99602675	1.315008e-18
1.4750582838299032e-11	-7.05719e-11	-8.1133844e-10	0.99602675	1.3123735e-18
1.4800636870379162e-11	-1.06811525e-10	-8.5830687e-10	0.9960269	1.3094497e-18
1.4850283304485146e-11	-7.629394e-11	-9.16481e-10	0.99602693	1.3059207e-18
1.4901875076307022e-11	-8.392334e-11	-9.021759e-10	0.996027	1.3016825e-18
1.495077560817006e-11	-5.531311e-11	-8.9740754e-10	0.99602705	1.2972593e-18
1.5001710240199118e-11	-7.629394e-11	-9.2601776e-10	0.9960272	1.2923701e-18
1.5050135585615587e-11	-7.629394e-11	-9.727478e-10	0.9960273	1.2875918e-18
1.5100767414245823e-11	-1.9073486e-11	-9.450912e-10	0.99602735	1.2826012e-18
1.5151426389756848e-11	2.2888184e-11	-9.045601e-10	0.9960274	1.2777642e-18
1.520227599354096e-11	-2.3216009e-11	-9.002686e-10	0.9960275	1.273245e-18
1.5251148495240755e-11	-6.866455e-11	-9.527207e-10	0.9960276	1.2693869e-18
